,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ave.
93,1926,3.47 %,4.07 %,2.89 %,4.07 %,2.89 %,1.14 %,-1.13 %,-1.69 %,-1.13 %,-0.56 %,-1.67 %,-1.12 %,0.94 %
94,1925,0.00 %,0.00 %,1.17 %,1.18 %,1.76 %,2.94 %,3.51 %,4.12 %,3.51 %,2.91 %,4.65 %,3.47 %,2.44 %
95,1924,2.98 %,2.38 %,1.79 %,0.59 %,0.59 %,0.00 %,-0.58 %,-0.58 %,-0.58 %,-0.58 %,-0.58 %,0.00 %,0.45 %
96,1923,-0.59 %,-0.59 %,0.60 %,1.20 %,1.20 %,1.80 %,2.38 %,3.01 %,3.61 %,3.59 %,2.98 %,2.37 %,1.80 %
97,1922,-11.05 %,-8.15 %,-8.74 %,-7.73 %,-5.65 %,-5.11 %,-5.08 %,-6.21 %,-5.14 %,-4.57 %,-3.45 %,-2.31 %,-6.10 %
98,1921,-1.55 %,-5.64 %,-7.11 %,-10.84 %,-14.08 %,-15.79 %,-14.90 %,-12.81 %,-12.50 %,-12.06 %,-12.12 %,-10.82 %,-10.85 %
99,1920,16.97 %,20.37 %,20.12 %,21.56 %,21.89 %,23.67 %,19.54 %,14.69 %,12.36 %,9.94 %,7.03 %,2.65 %,15.90 %
100,1919,17.86 %,14.89 %,17.14 %,17.61 %,16.55 %,14.97 %,15.23 %,14.94 %,13.38 %,13.13 %,13.50 %,14.55 %,15.31 %
101,1918,19.66 %,17.50 %,16.67 %,12.70 %,13.28 %,13.08 %,17.97 %,18.46 %,18.05 %,18.52 %,20.74 %,20.44 %,17.26 %
102,1917,12.50 %,15.38 %,14.29 %,18.87 %,19.63 %,20.37 %,18.52 %,19.27 %,19.82 %,19.47 %,17.39 %,18.10 %,17.80 %
103,1916,2.97 %,4.00 %,6.06 %,6.00 %,5.94 %,6.93 %,6.93 %,7.92 %,9.90 %,10.78 %,11.65 %,12.62 %,7.64 %
104,1915,1.00 %,1.01 %,0.00 %,2.04 %,2.02 %,2.02 %,1.00 %,-0.98 %,-0.98 %,0.99 %,0.98 %,1.98 %,0.92 %
105,1914,2.04 %,1.02 %,1.02 %,0.00 %,2.06 %,1.02 %,1.01 %,3.03 %,2.00 %,1.00 %,0.99 %,1.00 %,1.35 %
